,State,Year,Quarter,Name,Type,Count,Amount
336,bihar,2020,4,Merchant payments,TOTAL,26750991,23185594534.30522
337,bihar,2020,4,Recharge & bill payments,TOTAL,19908687,6926960996.688756
338,bihar,2020,4,Financial Services,TOTAL,119416,100785736.00790763
339,bihar,2020,4,Others,TOTAL,380481,207713978.04223877
340,bihar,2021,1,Peer-to-peer payments,TOTAL,58566582,242013312361.31104
341,bihar,2021,1,Merchant payments,TOTAL,33959313,30171144593.369873
342,bihar,2021,1,Recharge & bill payments,TOTAL,21974086,8505455545.448764
343,bihar,2021,1,Financial Services,TOTAL,124277,112949858.25028673
344,bihar,2021,1,Others,TOTAL,308219,170787342.8481179
345,bihar,2021,2,Peer-to-peer payments,TOTAL,78694099,319758683264.15344
346,bihar,2021,2,Merchant payments,TOTAL,44686786,43458914639.77138
